Make,Model,AverageCityMPG,AverageHighwayMPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
BMW,540i,22,29,25,5,No,352
BMW,540i,22,29,25,5,No,352
BMW,740i,25,31,27,5,No,324
BMW,740i,25,31,27,5,No,324
BMW,760i,18,26,21,4,No,420
BMW,760i,18,26,21,4,No,420
BMW,840i,21,29,24,5,No,374
BMW,840i,21,29,24,5,No,374
BMW,840i,21,29,24,5,No,373
BMW,840i,21,29,24,5,No,373
BMW,840i,21,29,24,5,No,374
BMW,840i,21,29,24,5,No,374
BMW,840i,21,29,24,5,No,373
BMW,840i,21,29,24,5,No,373
BMW,840i,21,29,24,5,No,373
BMW,840i,21,29,24,5,No,373
BMW,840i,21,29,24,5,No,373
BMW,840i,21,29,24,5,No,373
BMW,ALPINA,17,24,19,4,No,457
BMW,ALPINA,17,24,19,4,No,457
BMW,Alpina,16,20,17,3,No,506
BMW,Alpina,16,20,17,3,No,506
BMW,M2,16,24,19,4,No,461
BMW,M2,16,24,19,4,No,461
BMW,M2,16,23,19,4,No,472
BMW,M2,16,23,19,4,No,472
BMW,M235i,24,33,27,5,No,324
BMW,M235i,24,33,27,5,No,324
BMW,M235i,24,33,27,5,No,324
BMW,M240i,22,32,26,5,No,343
BMW,M240i,22,32,26,5,No,343
BMW,M240i,23,32,26,5,No,338
BMW,M240i,23,32,26,5,No,338
BMW,M3,16,23,19,4,No,472
BMW,M3,16,23,19,4,No,472
BMW,M3,16,23,19,4,No,470
BMW,M3,16,23,19,4,No,470
BMW,M3,16,22,18,4,No,477
BMW,M3,16,22,18,4,No,477
BMW,M340i,23,31,26,5,No,340
BMW,M340i,23,31,26,5,No,340
BMW,M340i,23,32,26,5,No,339
BMW,M340i,23,32,26,5,No,339
BMW,M4,16,23,18,4,No,485
BMW,M4,16,23,18,4,No,485
BMW,M4,16,23,19,4,No,470
BMW,M4,16,23,19,4,No,470
BMW,M4,16,22,18,4,No,477
BMW,M4,16,22,18,4,No,477
BMW,M4,16,23,18,4,No,484
BMW,M4,16,23,18,4,No,484
BMW,M4,16,23,19,4,No,472
BMW,M4,16,23,19,4,No,472
BMW,M440i,24,32,27,5,No,325
BMW,M440i,24,32,27,5,No,325
BMW,M440i,22,31,25,5,No,348
BMW,M440i,22,31,25,5,No,348
BMW,M440i,23,31,26,5,No,340
BMW,M440i,23,31,26,5,No,340
BMW,M440i,24,32,27,5,No,325
BMW,M440i,24,32,27,5,No,325
BMW,M440i,22,31,25,5,No,348
BMW,M440i,22,31,25,5,No,348
BMW,M440i,22,31,25,5,No,348
BMW,M440i,22,31,25,5,No,348
BMW,M5,15,21,17,3,No,522
BMW,M5,15,21,17,3,No,522
BMW,M5,15,21,17,3,No,522
BMW,M5,15,21,17,3,No,522
BMW,M550i,17,25,20,4,No,446
BMW,M550i,17,25,20,4,No,446
BMW,M8,15,22,17,3,No,517
BMW,M8,15,22,17,3,No,517
BMW,M8,15,22,17,3,No,517
BMW,M8,15,22,17,3,No,517
BMW,M8,15,22,17,3,No,517
BMW,M8,15,22,17,3,No,517
BMW,M850i,17,24,19,4,No,457
BMW,M850i,17,24,19,4,No,457
BMW,M850i,17,24,19,4,No,457
BMW,M850i,17,24,19,4,No,457
BMW,M850i,17,24,19,4,No,457
BMW,M850i,17,24,19,4,No,457
BMW,X1,25,34,28,6,No,313
BMW,X1,25,34,28,6,No,313
BMW,X2,24,31,27,5,No,333
BMW,X2,24,31,27,5,No,333
BMW,X2,24,31,27,5,No,333
BMW,X2,24,32,27,5,No,329
BMW,X2,24,32,27,5,No,329
BMW,X2,24,31,27,5,No,333
BMW,X2,24,31,27,5,No,333
BMW,X3,15,20,17,3,No,519
BMW,X3,15,20,17,3,No,519
BMW,X3,15,20,17,3,No,519
BMW,X3,15,20,17,3,No,519
BMW,X3,21,26,23,5,No,378
BMW,X3,21,26,23,5,No,378
BMW,X3,23,29,25,5,No,352
BMW,X3,23,29,25,5,No,352
BMW,X3,21,28,24,5,No,369
BMW,X3,21,28,24,5,No,369
BMW,X4,15,20,17,3,No,519
BMW,X4,15,20,17,3,No,519
BMW,X4,15,20,17,3,No,519
BMW,X4,15,20,17,3,No,519
BMW,X4,21,26,23,5,No,378
BMW,X4,21,26,23,5,No,378
BMW,X4,21,28,24,5,No,369
BMW,X4,21,28,24,5,No,369
BMW,X5,13,18,15,2,No,586
BMW,X5,13,18,15,2,No,586
BMW,X5,13,18,15,2,No,586
BMW,X5,13,18,15,2,No,586
BMW,X5,16,22,18,4,No,486
BMW,X5,16,22,18,4,No,486
BMW,X5,21,26,23,5,No,383
BMW,X5,21,26,23,5,No,383
BMW,X5,21,25,23,5,No,389
BMW,X5,21,25,23,5,No,389
BMW,X5,19,22,20,8,Yes,177
BMW,X5,19,22,20,8,Yes,177
BMW,X6,13,18,15,2,No,586
BMW,X6,13,18,15,2,No,586
BMW,X6,13,18,15,2,No,586
BMW,X6,13,18,15,2,No,586
BMW,X6,16,22,18,4,No,486
BMW,X6,16,22,18,4,No,486
BMW,X6,21,25,23,5,No,389
BMW,X6,21,25,23,5,No,389
BMW,X7,16,21,18,4,No,481
BMW,X7,16,21,18,4,No,481
BMW,X7,21,25,22,5,No,392
BMW,X7,21,25,22,5,No,392
BMW,XM,12,17,14,7,Yes,244
BMW,XM,12,17,14,7,Yes,244
BMW,Z4,25,33,28,6,No,312
BMW,Z4,25,33,28,6,No,312
BMW,Z4,23,31,26,5,No,338
BMW,Z4,23,31,26,5,No,338
BMW,i4,94,98,96,10,Elite,0
BMW,i4,94,98,96,10,Elite,0
BMW,i4,79,80,80,10,Elite,0
BMW,i4,79,80,80,10,Elite,0
BMW,i4,107,102,105,10,Elite,0
BMW,i4,107,102,105,10,Elite,0
BMW,i4,115,111,113,10,Elite,0
BMW,i4,115,111,113,10,Elite,0
BMW,i4,109,108,109,10,Elite,0
BMW,i4,109,108,109,10,Elite,0
BMW,i4,100,98,99,10,Elite,0
BMW,i4,100,98,99,10,Elite,0
BMW,i7,87,92,89,10,Elite,0
BMW,i7,87,92,89,10,Elite,0
BMW,i7,81,85,83,10,Elite,0
BMW,i7,81,85,83,10,Elite,0
BMW,i7,85,89,87,10,Elite,0
BMW,i7,85,89,87,10,Elite,0
BMW,iX,76,80,77,10,Elite,0
BMW,iX,76,80,77,10,Elite,0
BMW,iX,77,80,78,10,Elite,0
BMW,iX,77,80,78,10,Elite,0
BMW,iX,86,87,86,10,Elite,0
BMW,iX,86,87,86,10,Elite,0
BMW,iX,82,84,83,10,Elite,0
BMW,iX,82,84,83,10,Elite,0
BMW,iX,86,85,86,10,Elite,0
BMW,iX,86,85,86,10,Elite,0
BUGATTI,Chiron,8,11,9,1,No,979
BUGATTI,Chiron,8,11,9,1,No,979
BUGATTI,Chiron,8,11,9,1,No,979
BUGATTI,Chiron,8,11,9,1,No,979
BUICK,Enclave,18,26,21,4,No,424
BUICK,Enclave,18,26,21,4,No,424
BUICK,Enclave,17,25,20,4,No,448
BUICK,Enclave,17,25,20,4,No,448
BUICK,Encore,29,31,30,6,No,296
BUICK,Encore,29,31,30,6,No,296
BUICK,Encore,26,29,27,5,No,324
BUICK,Encore,26,29,27,5,No,324
BUICK,Encore,29,32,30,6,No,297
BUICK,Encore,29,32,30,6,No,297
BUICK,Envision,23,31,26,5,No,337
BUICK,Envision,23,31,26,5,No,337
BUICK,Envision,22,29,25,5,No,355
BUICK,Envision,22,29,25,5,No,355
CADILLAC,CT4,23,34,27,5,No,331
CADILLAC,CT4,23,34,27,5,No,331
CADILLAC,CT4,22,31,26,5,No,348
CADILLAC,CT4,22,31,26,5,No,348
CADILLAC,CT4,21,31,25,5,No,356
CADILLAC,CT4,21,31,25,5,No,356
CADILLAC,CT4,21,29,24,5,No,371
CADILLAC,CT4,21,29,24,5,No,371
CADILLAC,CT4,20,29,23,5,No,385
CADILLAC,CT4,20,29,23,5,No,385
CADILLAC,CT4,20,28,23,5,No,387
CADILLAC,CT4,20,28,23,5,No,387
CADILLAC,CT4,15,23,18,4,No,488
CADILLAC,CT4,15,23,18,4,No,488
