Make,Fuel,Veh Class,Air Pollution Score,CityMPG,HwyMPG,CmbMPG,Greenhouse Gas Score,SmartWay,Comb CO2
AUDI,Gasoline,Midsize Car,5,19,26,22,5,No,408
AUDI,Gasoline,Midsize Car,5,19,26,22,5,No,408
AUDI,Gasoline,Midsize Car,5,19,26,22,5,No,408
AUDI,Gasoline,Large Car,3,15,23,18,4,No,503
AUDI,Gasoline,Large Car,3,15,23,18,4,No,503
AUDI,Gasoline,Small SUV,5,19,24,21,4,No,422
AUDI,Gasoline,Small SUV,5,19,24,21,4,No,422
AUDI,Gasoline,Small SUV,5,19,24,21,4,No,422
AUDI,Gasoline,Small SUV,5,19,24,21,4,No,422
AUDI,Gasoline,Standard SUV,3,14,20,17,3,No,532
AUDI,Gasoline,Standard SUV,3,14,20,17,3,No,532
AUDI,Gasoline,Standard SUV,3,14,20,17,3,No,532
AUDI,Gasoline,Standard SUV,3,14,20,17,3,No,532
AUDI,Gasoline,Small Car,7,23,30,25,5,No,347
AUDI,Gasoline,Small Car,7,23,30,25,5,No,347
AUDI,Gasoline,Small Car,7,23,30,25,5,No,347
AUDI,Gasoline,Small Car,7,23,30,25,5,No,347
AUDI,Gasoline,Small Car,3,23,31,26,5,No,337
AUDI,Gasoline,Small Car,3,23,31,26,5,No,337
AUDI,Electricity,Midsize Car,10,81,83,82,10,Elite,0
AUDI,Electricity,Midsize Car,10,81,83,82,10,Elite,0
AUDI,Electricity,Standard SUV,10,72,75,73,10,Elite,0
AUDI,Electricity,Standard SUV,10,72,75,73,10,Elite,0
AUDI,Electricity,Standard SUV,10,62,64,63,10,Elite,0
AUDI,Electricity,Standard SUV,10,62,64,63,10,Elite,0
AUDI,Electricity,Standard SUV,10,73,78,75,10,Elite,0
AUDI,Electricity,Standard SUV,10,73,78,75,10,Elite,0
AUDI,Electricity,Standard SUV,10,64,66,65,10,Elite,0
AUDI,Electricity,Standard SUV,10,64,66,65,10,Elite,0
AUDI,Electricity,Standard SUV,10,77,80,78,10,Elite,0
AUDI,Electricity,Standard SUV,10,77,80,78,10,Elite,0
AUDI,Electricity,Standard SUV,10,78,79,79,10,Elite,0
AUDI,Electricity,Standard SUV,10,78,79,79,10,Elite,0
BENTLEY,Gasoline,Standard SUV,3,14,21,17,3,No,527
BENTLEY,Gasoline,Standard SUV,3,14,21,17,3,No,527
BENTLEY,Gasoline,Standard SUV,3,14,21,17,3,No,527
BENTLEY,Gasoline,Standard SUV,3,14,21,17,3,No,527
BENTLEY,Gasoline/Electricity,Standard SUV,3,18,24,20,7,No,222
BENTLEY,Gasoline/Electricity,Standard SUV,3,18,24,20,7,No,222
BENTLEY,Gasoline,Standard SUV,3,12,19,14,2,No,617
BENTLEY,Gasoline,Standard SUV,3,12,19,14,2,No,617
BENTLEY,Gasoline,Small Car,1,9,14,11,1,No,840
BENTLEY,Gasoline,Small Car,1,9,14,11,1,No,840
BENTLEY,Gasoline,Small Car,3,15,23,18,4,No,494
BENTLEY,Gasoline,Small Car,3,15,23,18,4,No,494
BENTLEY,Gasoline,Small Car,3,15,22,18,4,No,508
BENTLEY,Gasoline,Small Car,3,15,22,18,4,No,508
BENTLEY,Gasoline,Small Car,3,12,18,14,2,No,636
BENTLEY,Gasoline,Small Car,3,12,18,14,2,No,636
BENTLEY,Gasoline,Small Car,3,12,20,15,2,No,610
BENTLEY,Gasoline,Small Car,3,12,20,15,2,No,610
BENTLEY,Gasoline,Midsize Car,3,15,22,17,3,No,514
BENTLEY,Gasoline,Midsize Car,3,15,22,17,3,No,514
BENTLEY,Gasoline,Midsize Car,3,12,19,15,2,No,601
BENTLEY,Gasoline,Midsize Car,3,12,19,15,2,No,601
BENTLEY,Gasoline/Electricity,Midsize Car,5,17,22,19,7,No,251
BENTLEY,Gasoline/Electricity,Midsize Car,5,17,22,19,7,No,251
BMW,Gasoline,Small Car,7,24,34,28,6,No,315
BMW,Gasoline,Small Car,7,24,34,28,6,No,315
BMW,Gasoline,Small Car,7,23,33,27,5,No,330
BMW,Gasoline,Small Car,7,23,33,27,5,No,330
BMW,Gasoline,Small Car,3,26,35,29,6,No,300
BMW,Gasoline,Small Car,3,26,35,29,6,No,300
BMW,Gasoline,Small Car,3,26,35,29,6,No,300
BMW,Gasoline,Small Car,3,24,34,28,6,No,314
BMW,Gasoline,Small Car,3,24,34,28,6,No,314
BMW,Gasoline,Small Car,3,24,34,28,6,No,314
BMW,Gasoline/Electricity,Small Car,7,24,32,27,9,Yes,158
BMW,Gasoline/Electricity,Small Car,7,24,32,27,9,Yes,158
BMW,Gasoline/Electricity,Small Car,7,22,32,26,9,Yes,172
BMW,Gasoline/Electricity,Small Car,7,22,32,26,9,Yes,172
BMW,Gasoline,Small Car,7,25,34,29,6,No,308
BMW,Gasoline,Small Car,7,25,34,29,6,No,308
BMW,Gasoline,Small Car,7,24,33,27,5,No,322
BMW,Gasoline,Small Car,7,24,33,27,5,No,322
BMW,Gasoline,Small Car,7,25,34,28,6,No,313
BMW,Gasoline,Small Car,7,25,34,28,6,No,313
BMW,Gasoline,Small Car,7,23,33,27,5,No,327
BMW,Gasoline,Small Car,7,23,33,27,5,No,327
BMW,Gasoline,Small Car,7,25,34,28,6,No,313
